# Constant m: 0.07228456913827655
# S_vals T_vals
1.000000 0.010000
1.000000 0.011483
1.000000 0.012966
1.000000 0.014449
1.000000 0.015932
1.000000 0.017415
1.000000 0.018898
1.000000 0.020381
1.000000 0.021864
1.000000 0.023347
1.000000 0.024830
1.000000 0.026313
1.000000 0.027796
1.000000 0.029279
1.000000 0.030762
1.000000 0.032244
1.000000 0.033727
1.000000 0.035210
1.000000 0.036693
1.000000 0.038176
1.000000 0.039659
1.000000 0.041142
1.000000 0.042625
1.000000 0.044108
1.000000 0.045591
1.000000 0.047074
1.000000 0.048557
1.000000 0.050040
1.000000 0.051523
1.000000 0.053006
1.000000 0.054489
1.000000 0.055972
1.000000 0.057455
1.000000 0.058938
1.000000 0.060421
1.000000 0.061904
1.000000 0.063387
1.000000 0.064870
1.000000 0.066353
1.000000 0.067836
1.000000 0.069319
1.000000 0.070802
1.000000 0.072285
1.000000 0.073768
1.000000 0.075251
1.000000 0.076733
1.000000 0.078216
1.000000 0.079699
1.000000 0.081182
1.000000 0.082665
1.000000 0.084148
1.000000 0.085631
1.000000 0.087114
1.000000 0.088597
1.000000 0.090080
0.999999 0.091563
0.999999 0.093046
0.999999 0.094529
0.999999 0.096012
0.999999 0.097495
0.999998 0.098978
0.999998 0.100461
0.999998 0.101944
0.999997 0.103427
0.999996 0.104910
0.999996 0.106393
0.999995 0.107876
0.999994 0.109359
0.999992 0.110842
0.999991 0.112325
0.999989 0.113808
0.999987 0.115291
0.999985 0.116774
0.999983 0.118257
0.999980 0.119739
0.999977 0.121222
0.999973 0.122705
0.999969 0.124188
0.999965 0.125671
0.999960 0.127154
0.999955 0.128637
0.999948 0.130120
0.999942 0.131603
0.999934 0.133086
0.999926 0.134569
0.999917 0.136052
0.999907 0.137535
0.999896 0.139018
0.999884 0.140501
0.999871 0.141984
0.999856 0.143467
0.999841 0.144950
0.999824 0.146433
0.999806 0.147916
0.999786 0.149399
0.999765 0.150882
0.999743 0.152365
0.999718 0.153848
0.999692 0.155331
0.999664 0.156814
0.999634 0.158297
0.999601 0.159780
0.999567 0.161263
0.999530 0.162745
0.999491 0.164228
0.999450 0.165711
0.999406 0.167194
0.999359 0.168677
0.999310 0.170160
0.999257 0.171643
0.999202 0.173126
0.999143 0.174609
0.999082 0.176092
0.999016 0.177575
0.998948 0.179058
0.998876 0.180541
0.998800 0.182024
0.998720 0.183507
0.998637 0.184990
0.998549 0.186473
0.998457 0.187956
0.998361 0.189439
0.998260 0.190922
0.998155 0.192405
0.998045 0.193888
0.997930 0.195371
0.997811 0.196854
0.997686 0.198337
0.997556 0.199820
0.997421 0.201303
0.997280 0.202786
0.997134 0.204269
0.996982 0.205752
0.996824 0.207234
0.996659 0.208717
0.996489 0.210200
0.996313 0.211683
0.996130 0.213166
0.995940 0.214649
0.995744 0.216132
0.995541 0.217615
0.995331 0.219098
0.995114 0.220581
0.994890 0.222064
0.994658 0.223547
0.994418 0.225030
0.994171 0.226513
0.993916 0.227996
0.993653 0.229479
0.993382 0.230962
0.993102 0.232445
0.992815 0.233928
0.992518 0.235411
0.992213 0.236894
0.991899 0.238377
0.991575 0.239860
0.991243 0.241343
0.990901 0.242826
0.990550 0.244309
0.990189 0.245792
0.989818 0.247275
0.989437 0.248758
0.989046 0.250240
0.988645 0.251723
0.988233 0.253206
0.987810 0.254689
0.987377 0.256172
0.986933 0.257655
0.986477 0.259138
0.986011 0.260621
0.985532 0.262104
0.985042 0.263587
0.984541 0.265070
0.984027 0.266553
0.983501 0.268036
0.982962 0.269519
0.982411 0.271002
0.981848 0.272485
0.981271 0.273968
0.980681 0.275451
0.980078 0.276934
0.979461 0.278417
0.978831 0.279900
0.978186 0.281383
0.977528 0.282866
0.976855 0.284349
0.976168 0.285832
0.975466 0.287315
0.974748 0.288798
0.974016 0.290281
0.973268 0.291764
0.972505 0.293246
0.971726 0.294729
0.970931 0.296212
0.970119 0.297695
0.969291 0.299178
0.968445 0.300661
0.967583 0.302144
0.966704 0.303627
0.965807 0.305110
0.964892 0.306593
0.963958 0.308076
0.963007 0.309559
0.962037 0.311042
0.961047 0.312525
0.960039 0.314008
0.959011 0.315491
0.957963 0.316974
0.956895 0.318457
0.955806 0.319940
0.954696 0.321423
0.953566 0.322906
0.952413 0.324389
0.951239 0.325872
0.950043 0.327355
0.948824 0.328838
0.947581 0.330321
0.946316 0.331804
0.945027 0.333287
0.943713 0.334770
0.942375 0.336253
0.941012 0.337735
0.939623 0.339218
0.938208 0.340701
0.936767 0.342184
0.935298 0.343667
0.933803 0.345150
0.932279 0.346633
0.930727 0.348116
0.929145 0.349599
0.927534 0.351082
0.925893 0.352565
0.924220 0.354048
0.922517 0.355531
0.920781 0.357014
0.919012 0.358497
0.917209 0.359980
0.915372 0.361463
0.913500 0.362946
0.911592 0.364429
0.909648 0.365912
0.907666 0.367395
0.905645 0.368878
0.903585 0.370361
0.901484 0.371844
0.899342 0.373327
0.897158 0.374810
0.894930 0.376293
0.892657 0.377776
0.890338 0.379259
0.887972 0.380741
0.885557 0.382224
0.883092 0.383707
0.880576 0.385190
0.878007 0.386673
0.875382 0.388156
0.872702 0.389639
0.869963 0.391122
0.867163 0.392605
0.864301 0.394088
0.861375 0.395571
0.858382 0.397054
0.855319 0.398537
0.852184 0.400020
0.848975 0.401503
0.845687 0.402986
0.842318 0.404469
0.838864 0.405952
0.835322 0.407435
0.831687 0.408918
0.827954 0.410401
0.824120 0.411884
0.820179 0.413367
0.816125 0.414850
0.811951 0.416333
0.807652 0.417816
0.803218 0.419299
0.798642 0.420782
0.793914 0.422265
0.789024 0.423747
0.783959 0.425230
0.778706 0.426713
0.773249 0.428196
0.767571 0.429679
0.761651 0.431162
0.755464 0.432645
0.748982 0.434128
0.742170 0.435611
0.734987 0.437094
0.727381 0.438577
0.719286 0.440060
0.710617 0.441543
0.701263 0.443026
0.691066 0.444509
0.679800 0.445992
0.667109 0.447475
0.652380 0.448958
0.634361 0.450441
0.609463 0.451924
-0.000000 0.453407
-0.000000 0.454890
-0.000000 0.456373
-0.000000 0.457856
0.000000 0.459339
-0.000000 0.460822
0.000000 0.462305
-0.000000 0.463788
-0.000000 0.465271
-0.000000 0.466754
0.000000 0.468236
-0.000000 0.469719
0.000000 0.471202
-0.000000 0.472685
0.000000 0.474168
-0.000000 0.475651
0.000000 0.477134
-0.000000 0.478617
-0.000000 0.480100
0.000000 0.481583
-0.000000 0.483066
-0.000000 0.484549
0.000000 0.486032
-0.000000 0.487515
0.000000 0.488998
-0.000000 0.490481
-0.000000 0.491964
0.000000 0.493447
-0.000000 0.494930
-0.000000 0.496413
-0.000000 0.497896
0.000000 0.499379
-0.000000 0.500862
0.000000 0.502345
-0.000000 0.503828
0.000000 0.505311
-0.000000 0.506794
-0.000000 0.508277
-0.000000 0.509760
-0.000000 0.511242
-0.000000 0.512725
0.000000 0.514208
-0.000000 0.515691
0.000000 0.517174
-0.000000 0.518657
0.000000 0.520140
-0.000000 0.521623
-0.000000 0.523106
0.000000 0.524589
-0.000000 0.526072
0.000000 0.527555
-0.000000 0.529038
0.000000 0.530521
-0.000000 0.532004
-0.000000 0.533487
-0.000000 0.534970
-0.000000 0.536453
0.000000 0.537936
-0.000000 0.539419
0.000000 0.540902
-0.000000 0.542385
0.000000 0.543868
-0.000000 0.545351
0.000000 0.546834
-0.000000 0.548317
0.000000 0.549800
-0.000000 0.551283
0.000000 0.552766
-0.000000 0.554248
0.000000 0.555731
-0.000000 0.557214
0.000000 0.558697
-0.000000 0.560180
0.000000 0.561663
-0.000000 0.563146
-0.000000 0.564629
-0.000000 0.566112
0.000000 0.567595
-0.000000 0.569078
0.000000 0.570561
-0.000000 0.572044
-0.000000 0.573527
0.000000 0.575010
-0.000000 0.576493
-0.000000 0.577976
0.000000 0.579459
-0.000000 0.580942
-0.000000 0.582425
0.000000 0.583908
-0.000000 0.585391
-0.000000 0.586874
0.000000 0.588357
-0.000000 0.589840
-0.000000 0.591323
0.000000 0.592806
-0.000000 0.594289
0.000000 0.595772
-0.000000 0.597255
0.000000 0.598737
-0.000000 0.600220
0.000000 0.601703
-0.000000 0.603186
-0.000000 0.604669
0.000000 0.606152
-0.000000 0.607635
-0.000000 0.609118
-0.000000 0.610601
-0.000000 0.612084
-0.000000 0.613567
0.000000 0.615050
-0.000000 0.616533
-0.000000 0.618016
0.000000 0.619499
-0.000000 0.620982
0.000000 0.622465
-0.000000 0.623948
-0.000000 0.625431
0.000000 0.626914
-0.000000 0.628397
-0.000000 0.629880
0.000000 0.631363
-0.000000 0.632846
-0.000000 0.634329
0.000000 0.635812
-0.000000 0.637295
-0.000000 0.638778
0.000000 0.640261
-0.000000 0.641743
0.000000 0.643226
-0.000000 0.644709
-0.000000 0.646192
0.000000 0.647675
-0.000000 0.649158
-0.000000 0.650641
-0.000000 0.652124
0.000000 0.653607
-0.000000 0.655090
-0.000000 0.656573
0.000000 0.658056
-0.000000 0.659539
-0.000000 0.661022
-0.000000 0.662505
0.000000 0.663988
-0.000000 0.665471
-0.000000 0.666954
0.000000 0.668437
-0.000000 0.669920
-0.000000 0.671403
-0.000000 0.672886
0.000000 0.674369
-0.000000 0.675852
-0.000000 0.677335
0.000000 0.678818
-0.000000 0.680301
0.000000 0.681784
-0.000000 0.683267
-0.000000 0.684749
0.000000 0.686232
-0.000000 0.687715
-0.000000 0.689198
-0.000000 0.690681
0.000000 0.692164
-0.000000 0.693647
-0.000000 0.695130
0.000000 0.696613
-0.000000 0.698096
0.000000 0.699579
-0.000000 0.701062
-0.000000 0.702545
0.000000 0.704028
-0.000000 0.705511
0.000000 0.706994
-0.000000 0.708477
-0.000000 0.709960
0.000000 0.711443
-0.000000 0.712926
0.000000 0.714409
-0.000000 0.715892
0.000000 0.717375
-0.000000 0.718858
0.000000 0.720341
-0.000000 0.721824
0.000000 0.723307
-0.000000 0.724790
0.000000 0.726273
-0.000000 0.727756
0.000000 0.729238
-0.000000 0.730721
0.000000 0.732204
-0.000000 0.733687
0.000000 0.735170
-0.000000 0.736653
0.000000 0.738136
-0.000000 0.739619
0.000000 0.741102
-0.000000 0.742585
0.000000 0.744068
-0.000000 0.745551
0.000000 0.747034
-0.000000 0.748517
0.000000 0.750000
