# Constant m: 0.01593186372745491
# S_vals T_vals
1.000000 0.010000
1.000000 0.011483
1.000000 0.012966
1.000000 0.014449
1.000000 0.015932
1.000000 0.017415
1.000000 0.018898
1.000000 0.020381
1.000000 0.021864
1.000000 0.023347
1.000000 0.024830
1.000000 0.026313
1.000000 0.027796
1.000000 0.029279
1.000000 0.030762
1.000000 0.032244
1.000000 0.033727
1.000000 0.035210
1.000000 0.036693
1.000000 0.038176
1.000000 0.039659
1.000000 0.041142
1.000000 0.042625
1.000000 0.044108
1.000000 0.045591
1.000000 0.047074
1.000000 0.048557
1.000000 0.050040
1.000000 0.051523
1.000000 0.053006
1.000000 0.054489
1.000000 0.055972
1.000000 0.057455
1.000000 0.058938
1.000000 0.060421
1.000000 0.061904
1.000000 0.063387
1.000000 0.064870
1.000000 0.066353
1.000000 0.067836
1.000000 0.069319
1.000000 0.070802
1.000000 0.072285
1.000000 0.073768
1.000000 0.075251
1.000000 0.076733
1.000000 0.078216
1.000000 0.079699
1.000000 0.081182
1.000000 0.082665
1.000000 0.084148
1.000000 0.085631
1.000000 0.087114
1.000000 0.088597
1.000000 0.090080
1.000000 0.091563
1.000000 0.093046
1.000000 0.094529
0.999999 0.096012
0.999999 0.097495
0.999999 0.098978
0.999999 0.100461
0.999999 0.101944
0.999998 0.103427
0.999998 0.104910
0.999997 0.106393
0.999997 0.107876
0.999996 0.109359
0.999995 0.110842
0.999995 0.112325
0.999993 0.113808
0.999992 0.115291
0.999991 0.116774
0.999989 0.118257
0.999988 0.119739
0.999986 0.121222
0.999983 0.122705
0.999981 0.124188
0.999978 0.125671
0.999974 0.127154
0.999971 0.128637
0.999966 0.130120
0.999962 0.131603
0.999957 0.133086
0.999951 0.134569
0.999945 0.136052
0.999938 0.137535
0.999930 0.139018
0.999922 0.140501
0.999913 0.141984
0.999903 0.143467
0.999892 0.144950
0.999880 0.146433
0.999867 0.147916
0.999853 0.149399
0.999838 0.150882
0.999822 0.152365
0.999804 0.153848
0.999785 0.155331
0.999765 0.156814
0.999743 0.158297
0.999720 0.159780
0.999694 0.161263
0.999667 0.162745
0.999639 0.164228
0.999608 0.165711
0.999575 0.167194
0.999541 0.168677
0.999504 0.170160
0.999464 0.171643
0.999423 0.173126
0.999379 0.174609
0.999332 0.176092
0.999283 0.177575
0.999231 0.179058
0.999176 0.180541
0.999118 0.182024
0.999057 0.183507
0.998993 0.184990
0.998926 0.186473
0.998855 0.187956
0.998781 0.189439
0.998703 0.190922
0.998621 0.192405
0.998536 0.193888
0.998447 0.195371
0.998353 0.196854
0.998256 0.198337
0.998154 0.199820
0.998048 0.201303
0.997937 0.202786
0.997822 0.204269
0.997702 0.205752
0.997577 0.207234
0.997447 0.208717
0.997312 0.210200
0.997172 0.211683
0.997026 0.213166
0.996875 0.214649
0.996719 0.216132
0.996556 0.217615
0.996388 0.219098
0.996214 0.220581
0.996034 0.222064
0.995847 0.223547
0.995654 0.225030
0.995455 0.226513
0.995249 0.227996
0.995036 0.229479
0.994816 0.230962
0.994589 0.232445
0.994356 0.233928
0.994115 0.235411
0.993866 0.236894
0.993610 0.238377
0.993346 0.239860
0.993074 0.241343
0.992795 0.242826
0.992507 0.244309
0.992211 0.245792
0.991907 0.247275
0.991594 0.248758
0.991273 0.250240
0.990942 0.251723
0.990603 0.253206
0.990255 0.254689
0.989897 0.256172
0.989530 0.257655
0.989154 0.259138
0.988768 0.260621
0.988372 0.262104
0.987966 0.263587
0.987550 0.265070
0.987123 0.266553
0.986686 0.268036
0.986239 0.269519
0.985781 0.271002
0.985312 0.272485
0.984832 0.273968
0.984340 0.275451
0.983837 0.276934
0.983323 0.278417
0.982797 0.279900
0.982259 0.281383
0.981709 0.282866
0.981146 0.284349
0.980572 0.285832
0.979984 0.287315
0.979384 0.288798
0.978771 0.290281
0.978145 0.291764
0.977505 0.293246
0.976852 0.294729
0.976185 0.296212
0.975505 0.297695
0.974810 0.299178
0.974101 0.300661
0.973377 0.302144
0.972639 0.303627
0.971886 0.305110
0.971118 0.306593
0.970334 0.308076
0.969535 0.309559
0.968720 0.311042
0.967889 0.312525
0.967042 0.314008
0.966178 0.315491
0.965298 0.316974
0.964400 0.318457
0.963486 0.319940
0.962554 0.321423
0.961604 0.322906
0.960636 0.324389
0.959650 0.325872
0.958646 0.327355
0.957623 0.328838
0.956581 0.330321
0.955519 0.331804
0.954438 0.333287
0.953336 0.334770
0.952215 0.336253
0.951073 0.337735
0.949910 0.339218
0.948725 0.340701
0.947519 0.342184
0.946292 0.343667
0.945041 0.345150
0.943769 0.346633
0.942473 0.348116
0.941153 0.349599
0.939810 0.351082
0.938443 0.352565
0.937051 0.354048
0.935634 0.355531
0.934191 0.357014
0.932722 0.358497
0.931227 0.359980
0.929705 0.361463
0.928155 0.362946
0.926577 0.364429
0.924971 0.365912
0.923336 0.367395
0.921671 0.368878
0.919976 0.370361
0.918250 0.371844
0.916492 0.373327
0.914703 0.374810
0.912880 0.376293
0.911024 0.377776
0.909134 0.379259
0.907209 0.380741
0.905248 0.382224
0.903250 0.383707
0.901215 0.385190
0.899142 0.386673
0.897030 0.388156
0.894877 0.389639
0.892683 0.391122
0.890446 0.392605
0.888167 0.394088
0.885843 0.395571
0.883473 0.397054
0.881056 0.398537
0.878591 0.400020
0.876076 0.401503
0.873511 0.402986
0.870892 0.404469
0.868220 0.405952
0.865491 0.407435
0.862705 0.408918
0.859859 0.410401
0.856951 0.411884
0.853979 0.413367
0.850942 0.414850
0.847836 0.416333
0.844659 0.417816
0.841408 0.419299
0.838081 0.420782
0.834673 0.422265
0.831183 0.423747
0.827605 0.425230
0.823937 0.426713
0.820173 0.428196
0.816310 0.429679
0.812343 0.431162
0.808265 0.432645
0.804072 0.434128
0.799755 0.435611
0.795310 0.437094
0.790726 0.438577
0.785996 0.440060
0.781109 0.441543
0.776056 0.443026
0.770822 0.444509
0.765394 0.445992
0.759756 0.447475
0.753889 0.448958
0.747771 0.450441
0.741378 0.451924
0.734678 0.453407
0.727636 0.454890
0.720208 0.456373
0.712339 0.457856
0.703959 0.459339
0.694978 0.460822
0.685277 0.462305
0.674686 0.463788
0.662958 0.465271
0.649702 0.466754
0.634230 0.468236
0.615088 0.469719
0.587712 0.471202
0.000000 0.472685
-0.000000 0.474168
0.000000 0.475651
0.000000 0.477134
-0.000000 0.478617
0.000000 0.480100
0.000000 0.481583
-0.000000 0.483066
-0.000000 0.484549
-0.000000 0.486032
0.000000 0.487515
-0.000000 0.488998
0.000000 0.490481
-0.000000 0.491964
0.000000 0.493447
-0.000000 0.494930
0.000000 0.496413
-0.000000 0.497896
0.000000 0.499379
-0.000000 0.500862
0.000000 0.502345
0.000000 0.503828
-0.000000 0.505311
-0.000000 0.506794
0.000000 0.508277
-0.000000 0.509760
0.000000 0.511242
-0.000000 0.512725
0.000000 0.514208
-0.000000 0.515691
0.000000 0.517174
-0.000000 0.518657
-0.000000 0.520140
0.000000 0.521623
0.000000 0.523106
-0.000000 0.524589
-0.000000 0.526072
-0.000000 0.527555
0.000000 0.529038
-0.000000 0.530521
-0.000000 0.532004
0.000000 0.533487
-0.000000 0.534970
0.000000 0.536453
-0.000000 0.537936
0.000000 0.539419
-0.000000 0.540902
-0.000000 0.542385
0.000000 0.543868
-0.000000 0.545351
0.000000 0.546834
-0.000000 0.548317
0.000000 0.549800
-0.000000 0.551283
0.000000 0.552766
-0.000000 0.554248
0.000000 0.555731
-0.000000 0.557214
0.000000 0.558697
-0.000000 0.560180
0.000000 0.561663
-0.000000 0.563146
0.000000 0.564629
-0.000000 0.566112
-0.000000 0.567595
0.000000 0.569078
-0.000000 0.570561
0.000000 0.572044
-0.000000 0.573527
0.000000 0.575010
-0.000000 0.576493
0.000000 0.577976
-0.000000 0.579459
0.000000 0.580942
-0.000000 0.582425
0.000000 0.583908
-0.000000 0.585391
-0.000000 0.586874
0.000000 0.588357
-0.000000 0.589840
0.000000 0.591323
-0.000000 0.592806
0.000000 0.594289
-0.000000 0.595772
-0.000000 0.597255
-0.000000 0.598737
-0.000000 0.600220
-0.000000 0.601703
-0.000000 0.603186
-0.000000 0.604669
-0.000000 0.606152
-0.000000 0.607635
-0.000000 0.609118
0.000000 0.610601
-0.000000 0.612084
0.000000 0.613567
-0.000000 0.615050
0.000000 0.616533
-0.000000 0.618016
-0.000000 0.619499
0.000000 0.620982
-0.000000 0.622465
-0.000000 0.623948
0.000000 0.625431
-0.000000 0.626914
-0.000000 0.628397
0.000000 0.629880
-0.000000 0.631363
-0.000000 0.632846
0.000000 0.634329
-0.000000 0.635812
-0.000000 0.637295
-0.000000 0.638778
0.000000 0.640261
-0.000000 0.641743
-0.000000 0.643226
0.000000 0.644709
-0.000000 0.646192
0.000000 0.647675
-0.000000 0.649158
-0.000000 0.650641
0.000000 0.652124
-0.000000 0.653607
-0.000000 0.655090
0.000000 0.656573
-0.000000 0.658056
-0.000000 0.659539
0.000000 0.661022
-0.000000 0.662505
-0.000000 0.663988
-0.000000 0.665471
0.000000 0.666954
-0.000000 0.668437
-0.000000 0.669920
0.000000 0.671403
-0.000000 0.672886
0.000000 0.674369
-0.000000 0.675852
-0.000000 0.677335
0.000000 0.678818
-0.000000 0.680301
-0.000000 0.681784
0.000000 0.683267
-0.000000 0.684749
-0.000000 0.686232
0.000000 0.687715
-0.000000 0.689198
-0.000000 0.690681
0.000000 0.692164
-0.000000 0.693647
-0.000000 0.695130
0.000000 0.696613
-0.000000 0.698096
-0.000000 0.699579
-0.000000 0.701062
-0.000000 0.702545
0.000000 0.704028
-0.000000 0.705511
-0.000000 0.706994
0.000000 0.708477
-0.000000 0.709960
-0.000000 0.711443
-0.000000 0.712926
0.000000 0.714409
-0.000000 0.715892
-0.000000 0.717375
0.000000 0.718858
-0.000000 0.720341
0.000000 0.721824
-0.000000 0.723307
-0.000000 0.724790
0.000000 0.726273
-0.000000 0.727756
0.000000 0.729238
-0.000000 0.730721
-0.000000 0.732204
0.000000 0.733687
-0.000000 0.735170
0.000000 0.736653
-0.000000 0.738136
-0.000000 0.739619
0.000000 0.741102
-0.000000 0.742585
0.000000 0.744068
-0.000000 0.745551
0.000000 0.747034
-0.000000 0.748517
0.000000 0.750000
