Temperature,m2 average,m2 error 
3.00000,0.35263,0.00263
2.90000,0.38789,0.00245
2.80000,0.42742,0.00271
2.70000,0.48016,0.00282
2.60000,0.53483,0.00269
2.50000,0.58561,0.00289
2.40000,0.64225,0.00238
2.30000,0.70036,0.00295
2.20000,0.76475,0.00177
2.10000,0.81316,0.00183
2.00000,0.85807,0.00154
1.90000,0.89247,0.00141
1.80000,0.92188,0.00125
1.70000,0.94345,0.00109
1.60000,0.96129,0.00064
1.50000,0.97489,0.00052
